area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
3036,3,1,2,1,0,1,0,0,0,0,2
3150,3,1,2,0,0,0,0,0,0,0,0
5000,3,1,3,1,0,0,0,1,0,0,2
6240,4,2,2,1,0,0,0,1,1,0,1
6000,3,2,4,1,0,0,0,1,0,0,0
5500,3,1,3,1,1,0,0,1,1,0,1
3970,1,1,1,0,0,0,0,0,0,0,0
8100,4,1,2,1,1,1,0,1,2,1,1
4100,4,1,1,0,0,1,0,0,0,0,0
3850,2,1,1,1,0,0,0,0,0,0,2
11175,3,1,1,1,0,1,0,1,1,1,1
4079,3,1,3,1,0,0,0,0,0,0,2
7800,3,2,2,1,0,0,0,0,0,1,2
6900,3,1,1,1,1,1,0,0,0,1,2
6550,3,1,2,1,0,1,0,1,0,1,1
3520,3,1,1,1,0,0,0,0,2,1,0
6100,3,1,1,1,0,1,0,1,0,1,2
3000,4,1,2,1,0,0,0,0,0,0,0
6040,3,1,1,1,0,0,0,0,2,1,2
3185,2,1,1,1,0,0,0,0,2,0,0
6360,2,1,1,1,0,0,0,0,0,0,1
6800,2,1,1,1,0,0,0,0,0,0,0
4350,3,1,2,0,0,0,1,0,1,0,0
2145,4,2,1,1,0,1,0,0,0,1,0
2870,2,1,2,1,1,1,0,0,0,1,2
3000,3,1,2,1,0,1,0,1,0,0,2
3420,4,2,2,1,0,1,0,1,2,0,2
2325,3,1,2,0,0,0,0,0,0,0,2
4400,3,1,2,1,0,0,0,0,0,0,0
3450,3,1,2,1,0,1,0,0,1,0,2
3420,5,1,2,0,0,0,0,0,0,0,0
5495,3,1,1,1,0,1,0,0,0,0,0
3620,2,1,1,1,0,0,0,0,0,0,0
4500,3,1,1,1,0,1,0,0,0,0,1
3420,2,1,2,1,0,0,1,0,1,0,2
3900,3,1,2,1,0,0,0,0,0,0,0
3450,1,1,1,1,0,0,0,0,0,0,1
4095,3,1,2,0,1,1,0,1,0,0,2
6100,3,1,3,1,1,0,0,1,0,1,2
6000,4,2,4,1,0,0,0,0,2,0,2
6862,3,1,2,1,0,0,0,1,2,1,1
9500,3,1,2,1,0,0,0,0,3,1,0
7600,4,1,2,1,0,0,0,1,2,0,1
4632,4,1,2,1,0,0,0,1,0,0,2
6360,2,1,1,1,0,1,0,1,1,0,1
4500,3,1,4,1,0,0,0,1,0,0,0
5150,3,2,4,1,0,0,0,1,2,0,2
4600,4,1,2,1,0,0,0,0,0,0,2
8960,4,4,4,1,0,0,0,1,3,0,1
2430,3,1,1,0,0,0,0,0,0,0,0
3600,3,1,1,1,0,0,0,0,1,0,0
7440,3,2,1,1,1,1,0,1,0,1,2
4960,4,1,3,0,0,0,0,0,0,0,2
6000,3,1,2,1,0,0,1,0,1,1,2
6300,3,1,1,1,0,0,0,1,2,0,2
6840,5,1,2,1,1,1,0,1,1,0,1
2500,2,1,1,0,0,0,0,1,0,0,0
3968,3,1,2,0,0,0,0,0,0,0,2
2145,3,1,2,1,0,1,0,0,0,1,1
4500,3,1,2,1,0,0,0,1,0,0,0
4320,3,1,1,0,0,0,0,0,1,0,0
3630,2,1,1,1,0,1,0,0,0,0,1
6750,2,1,1,1,1,1,0,0,2,1,1
3180,4,2,2,1,0,0,0,0,0,0,1
3640,2,1,1,1,0,0,0,0,0,0,0
6000,4,2,4,1,1,0,0,1,1,0,1
2015,3,1,2,1,0,1,0,0,0,1,2
4900,2,1,2,1,0,1,0,0,0,0,2
3760,3,1,1,1,0,0,0,0,2,0,2
3500,4,2,2,1,0,0,1,0,2,0,1
5600,2,1,1,1,0,0,0,1,0,0,2
7410,3,1,1,1,1,1,0,1,2,1,0
4240,3,1,2,1,0,0,0,1,0,0,2
3500,4,1,2,1,0,0,0,0,2,0,1
7800,3,1,1,1,0,1,0,1,2,1,0
4500,3,2,2,0,0,1,0,1,0,0,2
2990,2,1,1,0,0,0,0,0,1,0,0
7000,3,1,1,1,0,1,0,0,2,1,2
4840,3,1,2,1,0,0,0,0,1,0,2
3040,2,1,1,0,0,0,0,0,0,0,0
1950,3,1,1,0,0,0,1,0,0,0,0
3185,2,1,1,1,0,0,0,1,0,0,0
3000,4,1,3,1,0,1,0,1,2,0,2
2550,3,1,2,1,0,1,0,0,0,0,1
3540,2,1,1,0,1,1,0,0,0,0,2
3000,2,1,2,1,0,0,0,0,0,0,2
2880,3,1,1,0,0,0,0,0,0,0,0
7680,4,2,4,1,1,0,0,1,1,0,2
4352,4,1,2,0,0,0,0,0,1,0,0
9860,3,1,1,1,0,0,0,0,0,0,2
7155,3,2,1,1,1,1,0,1,2,0,0
3680,3,2,2,1,0,0,0,0,0,0,2
3500,2,1,1,1,0,0,0,0,0,0,0
6210,4,1,4,1,1,0,0,1,0,0,1
4400,2,1,1,1,0,0,0,0,1,0,2
10700,3,1,2,1,1,1,0,0,0,0,2
3640,2,1,1,1,0,0,0,0,0,0,0
1950,3,2,2,1,0,1,0,0,0,1,0
2640,2,1,1,0,0,0,0,0,1,0,1
4080,2,1,1,1,0,0,0,0,0,0,2
4046,3,1,2,1,0,1,0,0,1,0,2
4800,3,1,1,1,1,1,0,0,0,0,0
6000,4,1,3,1,1,1,0,0,0,1,0
3180,3,1,2,0,0,1,0,0,0,0,2
3960,3,1,1,1,0,1,0,0,2,0,2
3850,3,1,2,1,0,0,0,0,0,0,0
4050,2,1,2,1,1,1,0,0,0,1,0
4350,2,1,1,1,0,1,0,0,0,0,0
3090,3,1,2,0,0,0,0,0,0,0,2
7231,3,1,2,1,1,1,0,1,0,1,2
4320,3,1,2,1,0,1,1,0,2,0,2
6000,4,2,4,1,0,0,0,1,0,0,0
5450,4,2,1,1,0,1,0,1,0,1,2
4500,3,2,3,1,0,0,1,0,1,0,1
4040,2,1,1,1,0,0,0,0,0,0,0
5500,3,2,4,1,1,0,0,1,1,0,2
